size_kbytes rate
1463.78 1432.262
5469.1 1258.627
5292.74 1205.457
4553.47 494.635
24044.4 1229.829
6441.69 453.191
4662.4 1237.111
4987.71 1285.114
9953.38 1228.953
8013.2 1263.264
4597.1 447.048
11124.6 494.335
14.2578 263.694
6837.32 526.145
7959.02 505.739
6395.5 39.763
8299.24 489.200
487.617 489.561
844.195 514.017
6045.9 487.625
2705.65 486.737
3021.02 1258.505
22858.2 1092.400
1663.11 490.695
18205.9 833.117
1435.16 450.932
1159.67 479.827
1055.3 565.452
3509.1 496.836
7208.68 1222.481
19567.3 720.293
7982.17 1244.095
7843.25 493.722
3813.69 303.276
8891.56 1269.896
1657.49 1313.079
3826.17 500.258
624.492 1069.095
3069.22 490.639
9906.57 1240.274
2354.61 501.380
571.281 936.501
2093.84 496.163
2311.99 496.272
7827.75 1230.189
769.922 481.276
7965.65 494.562
902.52 531.809
23388.1 1222.373
22707.6 1229.503
230.977 1200.575
1849.74 503.447
392.09 428.730
770.282 501.723
15974.8 1241.994
2656.6 496.188
10395.9 1232.935
1138.13 510.914
550.352 487.460
812.695 525.272
6164.66 491.330
2757.82 497.222
24198.7 1196.212
845.849 500.636
366.426 536.366
10901.6 494.017
1082.67 493.808
1243.79 513.401
3456.6 488.769
701.484 480.523
1024.21 540.756
747.109 474.045
1056.87 482.829
10923.4 1237.295
3381.27 1202.378
3369.92 1236.623
1390.64 1267.073
10153.1 1235.870
4595.85 793.417
733.213 1338.896
57.0312 477.208
27117.7 226.567
5521.57 490.721
5946.82 1248.023
13277.7 455.050
11600 1095.210
5374.75 1222.648
2370.9 641.261
3051.68 4818.716
6004.2 1210.593
64231.6 1229.673
19567.3 656.340
1437.21 641.582
260.918 41.331
19567.3 656.188
8927.62 5977.071
1154.88 1350.252
855.469 1433.343
3659.78 498.624
277.156 460.809
1523.38 494.674
23814.9 1232.920
3029.35 1255.632
11405.4 1240.728
5539.12 1260.359
6904.63 1243.981
24171.9 1234.148
674.754 1118.323
25487.5 1234.252
1735.54 1193.255
1517.03 1349.215
19567.3 706.197
6457.27 1243.498
14287.8 1234.837
9562.29 397.205
1089.26 1198.000
12315.3 401.188
10534.3 1178.836
9050.43 1215.409
752.812 1416.313
11718.9 1236.395
406.348 1280.276
6415.31 1221.169
23875 1226.107
8500.36 1234.022
1483.68 1245.819
4443.78 1212.546
3123.01 1127.642
7366.65 1199.833
4788.89 1243.299
624.492 1389.175
4329.76 1292.385
23759.1 1215.183
24145.1 1231.774
1404.58 500.534
70805.6 1228.634
7421.86 1239.735
14821.8 493.122
9886.88 1240.096
1201.16 1316.607
176.797 841.484
129.746 609.363
8377.63 494.169
4630.74 1116.955
16208.2 492.476
3184.85 497.064
362.148 539.789
24162 1145.205
9670.88 1218.198
16470.9 109.796
7462.23 493.814
6937.8 494.906
7682.15 1248.950
38982.7 1234.757
9078.79 490.005
365 1216.905
10072.3 1216.933
61846.3 1229.972
11133.6 1245.996
2398.16 1363.531
23763.6 1233.314
15854.4 493.391
54.1797 362.574
2082 1343.087
21205.1 1232.704
1015.16 497.515
23938.8 1087.467
8963.98 1240.515
20886.3 108.902
7980.67 1232.728
10542.6 1239.906
8177.54 1238.835
14364.6 492.127
195.332 1011.472
2586.87 500.479
4904.97 1230.553
6568.26 1166.238
18.5352 238.030
23782.8 1226.045
8408.5 134.769
20893.4 492.886
6024.16 1259.484
14176.4 1239.065
389.238 1245.458
3411.1 1198.372
24136.7 1178.635
2716.91 1296.277
2593.2 1271.810
1389.02 1108.832
7965.65 493.660
12876.7 493.297
9078.79 493.339
8195.49 1258.848
2411 797.872
24555.7 1224.443
6084.18 1247.022
11692.7 26.273
23655.2 1234.154
3646.96 652.912
5334.28 490.541
9014.96 1237.921
286.526 1239.896
14987.2 1230.377
28308.9 176.387
18.5352 238.327
2620.59 653.357
1617.42 501.174
10121.3 1234.538
7732.01 1224.136
6379.49 495.989
7233.75 730.596
1792.86 1302.418
4418.38 5835.072
1956.75 1216.753
7453.99 1258.639
750.323 1308.399
4994.54 5922.099
5462.26 1267.886
1303.46 1202.407
23596.8 1023.529
380.016 579.656
20004.5 492.857
13474.1 1234.217
1036.03 1310.196
3802.58 1210.275
814.483 1503.453
3807.51 1286.959
3903.11 1239.322
11130 1233.288
13204.2 492.538
8475.29 493.540
5295.81 1262.520
3529.49 1284.227
25052.2 1232.317
8215.78 407.283
3725.86 1273.285
10362.3 1245.625
23639.5 1231.454
11110.2 1240.192
9239.06 492.423
13697.8 1243.439
1453.38 668.410
1514.88 1229.421
21497 1230.459
25.6641 277.978
9601.07 495.260
7822.75 1248.834
10378.4 1133.855
11479.7 493.819
1107.88 1195.085
10540.1 490.845
4888.21 1256.338
558.906 1334.865
947.591 1252.328
1686.11 1239.540
4114.87 1271.539
2373 1228.722
796.117 841.550
1697.33 1231.875
5229.31 494.989
2698.03 1293.014
20023.4 1237.628
3759.3 500.077
2060.31 497.623
23695.5 1230.492
7873.68 1229.934
1609.75 1370.915
11748 1241.532
8208.89 1249.482
6808.42 1205.574
3505.33 498.856
363.414 1152.895
22910.8 492.338
5930.21 1244.796
24540 1235.474
9161.4 1226.755
60265.3 491.502
4351.76 652.757
15100.4 1232.944
24410 1231.519
13974.7 494.131
232.402 496.031
9349.78 1232.247
8082.1 493.708
9105.08 489.994
5292.66 1269.901
10959.8 490.902
23644.9 492.098
1393.66 395.034
237.727 241.519
15210.3 1240.764
21748.6 1233.859
21869.1 1227.273
479.062 1533.534
1995.34 204.494
8465.92 493.234
7953.04 1250.980
1735.18 1333.081
5201.08 1258.890
14414.7 1220.675
19539.1 492.138
647.665 1469.039
494.746 1314.399
807.19 1181.115
13211.8 1234.225
7387.41 495.059
24267.8 1230.966
7512.88 343.979
16140.1 1228.819
21316.2 1168.287
10471.8 1232.932
146.855 2925.702
81.2695 969.564
1407.84 1182.746
374.98 442.758
15157.4 492.872
3959.2 1244.155
513.281 516.708
564.609 501.453
380.684 474.563
1873.02 1326.751
17171.4 1230.733
2120.93 1268.236
253.789 528.122
653.369 510.036
8829.44 1261.096
1116.74 1164.983
18306.1 1226.421
1025.14 1274.342
8735.7 1246.262
10.1562 505.812
4380.12 1257.444
3150.76 1285.570
4865.99 1234.064
3716.66 902.881
6664.1 668.063
4544.39 1249.757
23228.3 1225.805
5192.17 1236.446
10604.3 490.492
16565.3 1224.775
2385.15 493.387
892.48 481.319
12205 1146.005
2712.77 1220.181
9290.85 1003.058
5025.7 1255.917
22865.6 1235.711
1546.43 1257.889
17640.3 1230.932
388.172 479.851
9254.03 978.093
4206.68 981.714
532.176 1102.228
10900.8 1229.856
2590.45 1279.344
1404.9 1375.532
2275.35 867.869
22029.2 1000.941
3566.28 1229.189
20400 1210.293
2788.84 1260.372
1823.57 1261.822
1710.48 1268.150
18220 492.383
941.016 1249.433
7640.01 1240.109
2920.12 1199.680
24282 1241.523
19608.3 1238.579
16941 1227.951
6119.52 494.846
10981 1193.802
4260.04 459.902
16869.7 1239.948
30342.5 1227.284
3445.34 1280.995
861.172 89.254
1414.66 1298.084
1613.44 1250.978
7863.92 941.708
6300.18 1247.671
8191.14 681.885
8157.27 492.304
1055.08 510.066
655.859 89.902
4796.45 1250.591
20394.7 991.591
4669.09 493.312
8651.33 1223.372
6342.58 1249.197
10091.6 1230.541
24807.9 1237.543
22754 1232.836
216.719 381.336
9865.14 497.698
22688.7 1229.700
22671.2 1233.205
4490.87 1262.346
4470.4 1285.399
14988 1155.729
1206.72 1208.716
12895.9 1230.274
2391.4 1285.781
2062.6 1284.425
19369.4 1223.054
486.191 503.008
813.411 82.028
11469.2 1141.157
10599.2 828.099
7127.95 494.374
1730.2 1294.258
4252.47 1210.701
14575.7 662.899
882.58 1428.223
7931.95 1235.937
4730.69 491.882
1705.09 1350.471
14293.7 1236.675
1389.22 1178.442
12692.1 482.338
12077.1 1155.746
4622.47 1243.275
1405.29 1036.630
4572.78 652.582
2834.43 946.665
836.934 1364.813
450.547 1354.367
1379.98 1079.461
5676.42 1218.771
1320.63 1335.741
2206.04 1215.952
3329.22 1250.674
3673.89 1251.514
325.078 515.004
152.559 558.917
7255.68 1249.454
747.471 500.544
1062.23 1409.092
682.881 456.316
907.158 476.778
529.325 1471.937
22122.7 1231.301
1740.1 493.814
23126.8 1236.441
2387.41 488.812
24398.5 1230.003
1163.44 483.360
89.8242 101.670
441.259 1362.561
10539.2 1101.456
553.565 1128.990
8132.97 493.333
2357.97 1232.367
6861.85 493.501
637.324 568.429
218.145 661.009
8144.51 1000.781
4239.25 468.062
10653.2 497.681
24217.8 1238.293
22193.6 1230.916
12763.3 1227.549
4984.99 956.834
10895.6 493.122
764.219 547.548
10523.2 494.362
1241.15 496.891
19936.8 1222.134
1397.09 111.873
10932 1230.060
10224.1 1240.975
837.45 70.728
348.498 946.844
2815.39 502.048
10843.4 494.341
10239.8 664.725
2032.39 506.727
641.963 481.864
392.09 517.764
12171.9 493.541
25711.3 1233.541
5142.88 1224.572
11410.9 1233.842
20085.1 1170.470
3350.35 195.365
3532.76 212.959
15595.4 639.466
10465.8 494.595
18766 492.777
14162.9 492.593
16037.5 491.197
3652.14 1234.700
1999.59 1327.135
23004.1 1232.154
11476.2 492.677
716.104 481.868
3984.29 302.446
10766.1 1233.854
8272.21 491.943
23967.5 1229.978
24276.2 1222.012
3297.49 1256.144
10952.7 493.774
11620.8 494.245
9185.79 1240.970
12781.1 1220.108
1896.27 632.308
10199.6 1228.897
6972.59 489.822
2364.74 1276.665
17262.3 1233.347
5801.03 635.200
13776.7 1238.312
13833.9 1226.866
11042.2 1238.496
2359.89 1269.893
4138.41 1289.980
4004.77 1231.791
3897.59 299.353
1075.4 512.909
4367.59 1232.832
21190.5 1230.751
3286.43 505.006
23547.8 1233.563
6171.98 501.811
1884.88 1197.982
20186.1 1230.869
7983.69 1228.189
4750.77 1274.083
20990.2 1233.980
13986.5 1240.033
1675.65 1281.028
3965.75 1247.231
2358.6 1236.571
2184.73 149.413
17902.6 1236.728
8901.63 1248.233
11981.7 491.674
1443.46 501.363
2295.78 121.148
1109.43 374.387
11132.9 1226.595
722.871 1228.408
6891.61 1226.175
4928.9 1224.770
15552.9 1225.836
11589.9 463.092
8818.19 1224.488
11816.2 1235.885
9825.39 1241.091
17674.5 1230.122
10653 1245.017
4568.15 1252.393
5265.53 1236.689
2257.28 1248.388
3822.88 1251.958
6155.62 1271.278
4509.46 1251.607
8411.05 1246.490
8064.73 1243.694
2377.43 1235.397
791.141 1418.382
21420.6 1234.942
1116.13 507.295
10933.4 1240.036
2182.73 1302.090
8111.4 497.275
5936.72 1263.306
10411.2 492.614
1643.24 1244.130
3220.92 2866.165
14097.7 494.478
138.578 477.927
550.07 365.138
66.4609 57.068
9617.96 1244.420
1584.85 495.296
9200.05 1236.387
21143.5 492.671
6893.03 1247.766
13489.2 1237.737
822.978 1246.210
466.23 1563.468
1714.29 1397.541
2882.3 1288.353
11700 1256.834
16480.7 1233.926
8501.33 1225.711
10987.4 1237.691
1684.47 502.739
1524.69 1264.155
4915.89 496.592
9901.29 1239.599
8111.4 494.812
9809.28 1222.341
1641.73 1371.617
9973.83 1250.451
551.811 462.756
5783.93 1229.054
11578 1229.473
7625.25 1239.536
7948.45 489.357
6133.71 1264.569
10893.4 491.510
3732.7 1220.467
11093.7 1233.181
3251.36 1247.202
17721.8 1231.927
8968.25 1244.848
2783.79 1282.553
5864.23 1247.794
12850.3 1234.011
7125.57 1029.867
1374.47 350.375
3281.5 1265.769
3339.15 1211.549
3249.94 1262.439
10338.2 1231.021
7511.5 494.704
3340.1 496.649
6054.1 1250.672
8111.4 492.170
2956.15 1221.939
15204.2 1243.195
8028.87 1259.197
6087.03 1259.328
20634.3 1231.454
7222.58 495.366
6902.04 1255.167
1397.42 1356.808
11579.4 1242.207
9699.83 1226.079
9590.54 1234.829
8453.68 1237.035
18419.2 1232.858
19931.9 1230.720
7893.64 1231.401
2330.03 1217.695
391.575 1270.169
9346.93 1240.237
3130.38 1014.053
934.246 1336.122
5088.91 497.614
2811.1 1276.678
15.6836 251.517
17.1094 216.762
9490.98 1162.664
7534.46 1227.028
1721.24 505.798
3415.67 1258.274
1404.16 355.202
5402.69 497.698
2487.48 1206.110
9636.21 1157.023
6775.07 818.228
2510.17 860.498
5198.63 1204.051
9562.58 818.710
10633.7 490.763
970.957 1073.245
24657.3 1230.010
8272.47 1020.174
2551.62 1270.253
708.194 1554.274
9232.79 656.245
9487.16 1241.737
3114.53 498.469
3870.45 1292.016
24117.1 1224.465
1710.75 486.884
13490.6 1150.777
1551.76 1264.516
8279.93 1220.331
1818.83 1342.077
1142.42 1245.814
1941.11 1339.778
2885.29 1303.503
1473.89 496.519
7950.64 1248.052
2559.09 1220.133
10031.4 1236.968
10991.5 1238.876
5629.28 494.853
6763.43 995.014
738.555 1608.205
3026.62 1251.292
10630.8 490.775
8135.82 489.962
3787.52 1254.159
9001.17 1075.870
5625.71 1243.038
8053.67 492.110
11869.7 1239.727
8205.36 1225.390
7297.15 1218.997
8427.05 1233.029
8525.7 1230.634
8411.87 1235.462
10786.9 1246.770
22558.8 492.413
13798.1 1235.568
11025.8 1238.822
6683.77 992.977
9874.05 1226.233
14029.7 492.021
2713.48 1269.470
343.926 1614.031
5787.76 1226.609
14793.8 1233.883
6562.32 1249.935
1318.77 501.872
11279.1 493.263
2774.87 1244.458
21004.1 600.302
3187.3 600.418
15632.8 1232.827
7273.77 1221.779
353.086 1013.532
1602.58 1026.385
1130.26 1475.415
10140 492.441
15418.9 1227.887
7181.89 1221.217
1098.49 1218.190
7056.99 1253.876
7578.24 1225.521
10244.6 1239.647
6722.68 1222.667
6140.8 1239.406
3666.91 1238.058
5509.02 1225.723
6407.41 1234.915
7732.61 1220.694
17834.8 1225.785
1276.11 1175.076
17473.5 1234.052
5718.81 1215.055
9088.84 1032.340
7896.65 1242.448
4998.74 1250.130
8272.04 1245.437
9466.41 1229.859
7750.94 1235.995
2602.26 1120.415
1484.27 489.028
1492.87 1200.645
7788.43 1248.714
3568.72 1243.596
1815.58 1286.309
10822.6 490.260
3166.44 1246.146
396.367 90.824
2551.13 1253.044
232.402 658.163
6729.39 1154.859
791.668 1300.347
2097.94 1110.045
2511.8 1209.520
1740.4 1218.945
17476.3 1232.083
2249.31 1229.960
24868 492.067
13858.9 1015.266
243.75 186.231
234.863 563.105
13962.6 1224.812
8753.85 495.001
1678.46 1208.405
8815.04 342.377
11787 1236.182
5132.72 1246.133
3004.48 1256.164
4488.31 1236.635
1652.99 1279.191
8305.2 1240.739
8440.09 1225.561
1125.28 1343.964
9818.5 495.026
23225.4 1236.103
6074.4 1267.704
1288.42 480.987
6915.9 1235.251
10232.3 1241.923
1796.48 1226.017
11292.7 1226.187
7438.84 1227.995
2086.41 1318.988
4397.06 488.583
3241.36 1254.222
9766.47 1238.745
12500.9 1233.688
2130.04 1295.958
11560.9 1242.847
16922.8 1227.527
11189.9 494.445
3411.52 1280.609
7916.78 1253.697
441.992 1337.223
242.383 1291.581
11856.8 1250.101
14476.5 1225.590
9676.85 1241.609
1882.85 1324.726
3863.3 800.525
5186.52 1249.738
756.612 1172.064
3317 1247.414
2775.73 507.251
11815.6 1219.119
2256.58 1199.187
2708.5 499.717
9185.91 490.470
3269.06 1297.411
2534.41 503.709
10081.3 493.063
4874.36 1216.057
12669.6 1229.913
229.551 622.410
2717.05 1200.486
2027.24 1295.888
41250 1231.922
979.052 1208.839
8676.81 1225.104
3607.07 1234.506
7309.63 1232.893
12141.3 490.062
35469.8 1234.375
5738.42 497.740
1264.34 961.934
8369.16 1261.721
827.07 1220.665
3528.81 1250.603
11159.4 492.579
803.129 527.777
2628.58 1267.338
11753.2 1232.087
10226.8 1231.461
13835.9 1233.998
992.344 503.729
2369.18 491.219
812.695 1202.416
7421.65 492.863
24791.7 1222.423
10917.9 491.470
8961.48 1226.067
11060.4 502.179
6813.17 1245.677
1651.37 1330.245
11659.8 495.255
14293.3 492.903
17157.5 1238.728
3743.85 678.283
12566.3 1244.342
570.813 1130.109
4616.25 495.614
16616.7 1236.594
373.312 537.977
2455.78 496.030
7460.29 1234.336
23970 1226.777
2666.53 1210.142
3534.76 1244.863
6725.3 494.432
10894.1 1224.940
1659.72 1246.460
10256.4 1227.457
9631.55 1242.483
22938.5 473.566
928.184 1292.511
7438.84 1217.099
8063.47 490.302
4449.9 1222.973
9580.8 1237.518
11004.8 780.365
4528.14 1255.291
17476.3 1220.342
2525.19 1230.715
15910.9 491.876
958.634 1500.432
2199.86 1200.160
23964.4 1237.821
11765 1220.048
7610.41 1225.140
2370.7 1227.191
23866 472.592
1107.44 1133.462
12778.3 784.312
15555.4 1232.207
12989.9 491.882
295.137 554.001
24747.6 1235.420
2986.33 1225.420
488.141 1488.824
8873.49 1246.159
9622.42 1226.924
8472.24 494.499
8857.61 491.301
10593.7 1245.147
3802.07 1236.652
12090.9 1253.381
3759.59 1232.720
9643.63 784.197
7285.3 1238.235
4669.76 1242.996
7344.67 1235.379
4961.81 1213.136
9522.42 1245.397
4473.53 1223.457
1471.41 633.809
7068.67 1251.186
20707.5 1226.617
7830.74 1245.756
3390.77 1206.286
5510.07 618.451
6137.83 1229.836
1634.45 1371.217
8480.68 492.523
23299.8 450.139
9261.26 1237.518
26048.2 1233.598
15797.1 1240.655
669.052 1370.637
4979.27 1232.333
2699.59 1257.384
9143.79 1204.706
9387.86 1239.643
9676.85 1225.292
2118.46 1311.349
8167.66 1227.402
2332.95 500.777
548.981 1432.120
15098.3 1231.443
3332.01 1241.720
6915.9 1270.799
13606.3 1211.333
22926.2 1226.471
9971.62 1251.612
7253.42 1215.326
7411.28 1260.805
6463.43 496.164
7478.23 1241.417
5763.09 1219.800
23215 471.729
14646.5 1224.116
7056.33 493.590
603.805 520.226
8891.56 1230.382
4951.87 1227.458
10831.2 1235.440
4780.26 726.923
4691.74 1210.428
19519.7 1234.726
10881.1 494.216
11194.1 493.907
2011.78 492.115
2985.24 1202.706
7873.98 1252.416
1311.63 702.462
1986.6 1225.690
216.044 1350.844
6512.62 1080.364
1498.66 622.819
1834.2 505.362
3541.65 1229.384
10753.8 1239.530
11.3125 529.533
950.835 1218.831
6842.71 626.730
3934.16 806.842
9136.32 326.627
7331.04 488.739
3843.2 1290.980
22556.2 499.402
2312.62 564.868
18205.1 546.343
559.267 1176.834
1157.73 1190.932
314.856 451.357
1925.46 498.781
3314.14 488.248
1216.55 1266.935
7433.89 1255.502
9177.81 491.846
7865.59 1244.386
667.22 1150.384
1247.94 858.135
11395.1 491.852
16235.5 1253.972
625.918 489.389
1037 1291.411
5308.42 1222.301
8078.89 1526.251
1086.81 505.788
10810.9 1245.016
5665.84 330.970
3294.87 931.642
14920.7 1231.738
3270.4 651.354
9163.78 1237.326
9838.1 1480.792
13130.7 1234.405
3605.6 1268.426
2745.42 488.802
14935.6 492.757
1418.65 517.882
2485.44 1276.371
2194.93 1228.373
2341.7 1307.253
2692.95 1280.959
6706.29 1186.691
1356.42 472.309
1038.36 1231.433
2734.36 1257.035
430.71 1332.844
1826.17 1230.044
4198.85 1240.817
1321.06 1377.144
2710.82 1234.596
2563.04 1274.397
10511.5 6099.828
23287.6 512.218
1434.33 1333.119
6012.92 1270.270
2893.42 1224.277
2875.31 1254.945
7105.79 496.158
3955.52 768.543
5804.74 1236.550
5789.85 1258.003
2294.61 1168.416
2630.62 1229.896
12023.2 1240.169
369.277 1122.627
10806.3 492.684
6351.58 491.256
2126.4 1292.432
1365.9 1222.922
1988.04 1206.779
9818.5 490.903
14639.6 1225.855
15604.2 1229.448
2048.07 1253.992
3253 1180.827
10233.7 1216.163
15999.2 492.114
3235.81 1223.140
6138.93 1233.786
20520.5 515.005
4817.66 1213.359
9911.77 1206.262
2771.23 1261.155
5331.23 1232.308
494.746 1055.017
2203.09 1229.498
5094.19 1241.193
1697.33 500.349
8499.25 493.905
12100.3 1239.073
3404.03 1259.959
21261.5 491.329
2807.17 1279.874
353.594 527.435
8725.39 1226.339
9766.47 1237.555
7488.87 1247.593
366.242 1454.691
590.315 1367.853
1792.28 1319.957
2610.63 1278.499
1608.33 495.297
11899.4 493.775
19436.7 802.879
2971.52 1241.678
3919.08 499.547
7366.18 1211.274
1212.46 1255.036
21110.5 1232.106
5670.44 490.003
1385.03 501.810
4694.78 1260.788
3845.98 1272.543
9466.27 1230.232
17348.7 1240.718
11188.5 490.533
4013.99 1316.852
814.5 687.549
3050.06 1246.618
12257 1236.569
2957.07 492.258
413.477 1237.348
4196.72 1229.529
1982.95 500.270
10713.3 1225.909
8233.84 1231.552
6763.02 1234.890
10634.3 1245.527
1130.05 1318.392
2425.12 490.879
11856.8 1240.696
188.07 711.683
10963.5 1239.225
2447.66 1261.244
8910.67 1221.101
11702.5 732.503
2519.86 1222.141
2170.59 1227.638
7165.84 1233.182
2451.35 1235.966
4496.87 1252.043
6420.67 1260.244
1677.08 490.904
362 40.448
7044.2 1247.606
3526.25 1233.851
1284.3 1347.764
9104.62 1201.488
2109.53 1193.816
494.746 1270.240
88.3984 345.573
7930.28 1262.969
1710.04 1209.825
2099.55 403.523
3108.74 606.011
2104.64 408.693
6352.52 1204.512
11817 1234.416
3067.94 1286.816
2387.45 629.450
21320.9 1228.169
2254.36 1181.358
2134.71 1251.105
2102.92 1237.912
5992.11 760.048
1574.42 1238.908
7327.8 1230.789
1602.07 1213.168
4154.02 1272.773
1193.69 464.629
1086.33 1260.860
15742.4 1237.540
1323.72 1300.446
8014.37 493.511
9516.84 1248.079
4578.87 494.134
503.705 914.520
4763.36 567.664
5277.81 1222.392
10081.3 492.614
6566.3 1238.776
11500.7 1227.765
23924.2 1231.637
2826.22 764.085
6293.69 1256.885
155.547 1452.614
1278.06 1086.454
9761.16 1216.280
1991.04 1270.183
4538.21 788.144
5927.58 491.659
1555.46 1292.657
